DATOS EMPÍRICOS - ANÁLISIS DE TIEMPO DE EJECUCIÓN
======================================================================

n     Tamaño     Pasos      Tiempo (s)     
----------------------------------------------------------------------
0     1          2          0.00000000     
1     2          3          0.00000000     
2     3          4          0.00000000     
3     4          5          0.00000000     
4     5          6          0.00000000     
5     6          7          0.00000000     
6     7          8          0.00000000     
7     8          7          0.00022125     
8     9          7          0.00000000     
9     10         7          0.00000000     
10    11         7          0.00000000     
11    12         7          0.00000000     
12    13         7          0.00000000     
13    14         7          0.00000000     
14    15         7          0.00000000     
15    16         7          0.00000000     
16    17         7          0.00000000     
17    18         7          0.00000000     
18    19         7          0.00000000     
